segment_id,mountain_group,source_code,region,section_name,length_km,difficulty,up_min,down_min,surface,risk_note,start_node,end_node,park_flag,polyline
S35135,아차산·용마산,112150201,서울,구의동구간,0.34,쉬움,6,4,토사,,N00017,N00005,0,"[[127.096663,37.554639],[127.096727,37.554692],[127.096814,37.55472],[127.096903,37.554741],[127.097016,37.554748],[127.09705,37.554835],[127.097139,37.554912],[127.097239,37.554935],[127.097281,37.554964],[127.097248,37.554987],[127.097262,37.555045],[127.097238,37.555073],[127.097217,37.555134],[127.097204,37.55517],[127.097118,37.555213],[127.097068,37.55527],[127.097073,37.555332],[127.097043,37.555357],[127.097063,37.555397],[127.09704,37.555456],[127.097025,37.555513],[127.097094,37.555608],[127.097111,37.555664],[127.097062,37.555704],[127.097061,37.555771],[127.097095,37.555817],[127.097081,37.555863],[127.097122,37.555906],[127.097129,37.555979],[127.097118,37.556037],[127.097057,37.556052],[127.096991,37.556056],[127.09695,37.556095],[127.096942,37.556133],[127.096942,37.556195],[127.096904,37.556242],[127.096828,37.556299],[127.096749,37.556307],[127.096681,37.556282],[127.096584,37.556254],[127.096524,37.556257],[127.096474,37.556264],[127.096428,37.55628],[127.096372,37.55631],[127.09636,37.556372],[127.096351,37.556412],[127.096319,37.556435],[127.096276,37.556453],[127.096223,37.556471],[127.096199,37.556504],[127.096208,37.556575],[127.09619,37.556607],[127.096121,37.556635]]"
S35136,아차산·용마산,112150201,서울,중곡동구간,0.39,중간,7,5,토사,,N00018,N00019,1,"[[127.090029,37.568156],[127.090122,37.568128],[127.090206,37.56813],[127.090245,37.568123],[127.090346,37.568102],[127.090478,37.568111],[127.090648,37.568158],[127.090706,37.568147],[127.090741,37.568114],[127.090812,37.568114],[127.090887,37.568155],[127.0909,37.568207],[127.090959,37.568232],[127.091084,37.568216],[127.091221,37.568284],[127.091273,37.568269],[127.091328,37.568285],[127.091477,37.568412],[127.091594,37.568455],[127.091697,37.568437],[127.091926,37.568346],[127.092278,37.568425],[127.092311,37.568413],[127.092276,37.56839],[127.092394,37.56844],[127.092405,37.568503],[127.092474,37.568564],[127.092638,37.568522],[127.092737,37.568584],[127.092796,37.568565],[127.092936,37.568569],[127.09305,37.568626],[127.093108,37.568613],[127.093273,37.568642],[127.093446,37.568719],[127.093619,37.568839],[127.093657,37.568901],[127.093741,37.568937]]"
S35137,아차산·용마산,112150201,서울,중곡동구간,0.08,쉬움,1,1,토사,,N00020,N00018,1,"[[127.090111,37.567606],[127.090294,37.567787],[127.090311,37.567847],[127.090266,37.567935],[127.090251,37.567916],[127.090181,37.56804],[127.090029,37.568156]]"
S35138,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00021,N00016,1,"[[127.089807,37.569682],[127.089887,37.569605],[127.089901,37.569567],[127.089937,37.569529],[127.089983,37.569483],[127.090003,37.56945]]"
S35139,아차산·용마산,112150201,서울,중곡동구간,0.33,쉬움,6,4,토사,,N00022,N00023,0,"[[127.09149,37.565479],[127.091491,37.565517],[127.091474,37.565574],[127.09144,37.565624],[127.091351,37.56568],[127.091332,37.565722],[127.091266,37.565753],[127.091084,37.565749],[127.090942,37.565713],[127.090869,37.565656],[127.090838,37.565592],[127.090724,37.565567],[127.090681,37.565526],[127.090624,37.565483],[127.090506,37.565446],[127.090308,37.565285],[127.090215,37.565274],[127.089967,37.565198],[127.089595,37.565123],[127.089447,37.565029],[127.089318,37.565035],[127.089147,37.564982],[127.088959,37.565],[127.088873,37.564908],[127.088905,37.564889],[127.088899,37.564866],[127.088822,37.564851],[127.088794,37.564797],[127.08869,37.564745],[127.088601,37.564651]]"
S35140,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00024,N00025,1,"[[127.0915,37.562809],[127.091486,37.562768],[127.091482,37.56269],[127.091486,37.562618],[127.091495,37.562575]]"
S35141,아차산·용마산,112150201,서울,중곡동구간,0.04,쉬움,1,0,토사,,N00026,N00027,1,"[[127.091625,37.563016],[127.091758,37.563047],[127.091777,37.56303],[127.091752,37.562805]]"
S35142,아차산·용마산,112150201,서울,중곡동구간,0.17,쉬움,3,2,토사,,N00026,N00028,1,"[[127.091625,37.563016],[127.091543,37.562933],[127.091407,37.562916],[127.091288,37.562877],[127.091205,37.56284],[127.09115,37.562791],[127.091117,37.56273],[127.091084,37.562665],[127.091072,37.562624],[127.091042,37.562562],[127.09103,37.562506],[127.091028,37.562459],[127.090974,37.562445],[127.090956,37.562396],[127.090936,37.562297],[127.090899,37.562231],[127.090862,37.562179],[127.090855,37.562113],[127.090852,37.562037],[127.090876,37.562008],[127.090846,37.561953],[127.090827,37.561898],[127.090802,37.561835],[127.090798,37.561826]]"
S35143,아차산·용마산,112150201,서울,중곡동구간,0.08,쉬움,1,1,토사,,N00029,N00030,0,"[[127.09342,37.562164],[127.093426,37.562224],[127.093432,37.562285],[127.093436,37.56232],[127.093454,37.562361],[127.093503,37.562408],[127.093537,37.562488],[127.09357,37.562564],[127.093552,37.562624],[127.093567,37.562659],[127.093563,37.562715],[127.093569,37.562745],[127.093613,37.56276],[127.093661,37.562768]]"
S35144,아차산·용마산,112150201,서울,중곡동구간,0.17,쉬움,3,2,토사,,N00010,N00031,1,"[[127.098226,37.566075],[127.098226,37.566119],[127.098262,37.56616],[127.098221,37.566225],[127.098175,37.566262],[127.098153,37.566344],[127.09812,37.566417],[127.098071,37.566561],[127.098014,37.566581],[127.097972,37.566621],[127.097926,37.566673],[127.097897,37.566762],[127.097868,37.566804],[127.097857,37.566884],[127.097813,37.566924],[127.097814,37.566964],[127.097834,37.567029],[127.097825,37.567098],[127.097783,37.567151],[127.097729,37.567174],[127.097704,37.567209],[127.097715,37.567258],[127.097765,37.567338],[127.097736,37.567392]]"
S35145,아차산·용마산,112150201,서울,중곡동구간,0.01,쉬움,1,0,토사,,N00032,N00033,1,"[[127.098193,37.56478],[127.098112,37.564809],[127.098067,37.564858]]"
S35146,아차산·용마산,112150201,서울,중곡동구간,0.01,쉬움,1,0,토사,,N00032,N00003,1,"[[127.098193,37.56478],[127.098116,37.56468]]"
S35147,아차산·용마산,112150201,서울,중곡동구간,0.14,쉬움,2,2,토사,,N00034,N00035,1,"[[127.096204,37.5687],[127.096084,37.568728],[127.095981,37.568842],[127.095655,37.568959],[127.09558,37.568956],[127.09544,37.568796],[127.095343,37.568816],[127.095226,37.568762],[127.095184,37.568699],[127.095177,37.568595],[127.095116,37.568546],[127.095106,37.568485]]"
S35148,아차산·용마산,112150201,서울,중곡동구간,0.01,쉬움,1,0,토사,,N00036,N00037,0,"[[127.095777,37.569586],[127.095699,37.569552],[127.095696,37.569551]]"
S35149,아차산·용마산,112150201,서울,중곡동구간,0.05,쉬움,1,1,토사,,N00038,N00039,0,"[[127.096092,37.570836],[127.096083,37.570862],[127.096057,37.570887],[127.095959,37.57088],[127.095921,37.570843],[127.095882,37.570816],[127.095814,37.5708],[127.095703,37.5708],[127.095668,37.570833],[127.095606,37.570838]]"
S35150,아차산·용마산,112150201,서울,중곡동구간,0.11,쉬움,2,1,토사,,N00040,N00038,0,"[[127.095576,37.570013],[127.095636,37.570074],[127.095705,37.570116],[127.09573,37.570153],[127.095738,37.570182],[127.095743,37.570239],[127.095777,37.570302],[127.095814,37.570342],[127.095852,37.570389],[127.095854,37.570455],[127.095868,37.570533],[127.095892,37.570594],[127.095977,37.570657],[127.09603,37.570688],[127.09604,37.570736],[127.096051,37.57077],[127.096083,37.57079],[127.096092,37.570836]]"
S35151,아차산·용마산,112150201,서울,중곡동구간,0.01,쉬움,1,0,토사,,N00041,N00040,0,"[[127.095499,37.569955],[127.095537,37.569979],[127.095576,37.570013]]"
S35152,아차산·용마산,112150201,서울,중곡동구간,0.07,쉬움,1,1,토사,,N00042,N00043,1,"[[127.096474,37.563307],[127.096441,37.563219],[127.096399,37.563156],[127.096306,37.563066],[127.096186,37.562939],[127.095998,37.562824]]"
S35153,아차산·용마산,112150201,서울,중곡동구간,0.06,쉬움,1,1,토사,,N00044,N00045,1,"[[127.096426,37.562829],[127.096358,37.562709],[127.096318,37.562651],[127.096316,37.562605],[127.0963,37.562532],[127.096273,37.562474],[127.096264,37.562398],[127.096254,37.562306]]"
S35154,아차산·용마산,112150201,서울,중곡동구간,0.15,쉬움,3,2,토사,,N00046,N00047,0,"[[127.093443,37.564813],[127.093399,37.56485],[127.093377,37.564917],[127.093301,37.564973],[127.093282,37.565054],[127.093253,37.56508],[127.093222,37.56511],[127.093141,37.56511],[127.093062,37.565139],[127.093024,37.565172],[127.092961,37.565181],[127.092897,37.565185],[127.092716,37.565143],[127.092636,37.565142],[127.092559,37.56514],[127.092514,37.56516],[127.092466,37.565186],[127.092419,37.565171],[127.09238,37.565105],[127.092301,37.565094],[127.09216,37.565022]]"
S35155,아차산·용마산,112150201,서울,중곡동구간,0.07,쉬움,1,1,토사,,N00038,N00048,0,"[[127.096092,37.570836],[127.096142,37.570881],[127.096195,37.570914],[127.09622,37.570954],[127.096267,37.570969],[127.096294,37.571024],[127.096346,37.571052],[127.096373,37.57109],[127.09642,37.571115],[127.096444,37.571162],[127.096454,37.571217],[127.096497,37.571252],[127.096571,37.571292],[127.096635,37.571303]]"
